Library_Serial_Number,Library_Name,District_Code,District_Name,Address,Phone_Number,Website_URL,Operating_Hours,Regular_Closed_Days,Library_Type_Code,Library_Type_Name,Latitude,Longitude
1935,Gangnam District mosgol Library,8,Gangnam-gu,Seoul gangnamgu jagokro 116,02-459-5522,http://library.gangnam.go.kr/mglib,"Weekdays : 09:00~22:00, Weekends : 09:00~22:00",Every Tuesday and Legal Holidays,1,Public Library,37.47153836,127.096582
1066,Gangnamyeoksampureunsol Library,8,Gangnam-gu,Seoul gangnamgu teheranro8gil 36. 4F,02-2051-1178,https://library.gangnam.go.kr/ysplib/index.do,"Weekdays : 09:00~18:00, Weekends : 09:00~17:00",Every Tuesday and Legal Holidays,1,Public Library,37.4964968,127.0320274
2815,Gaepohaneulkkum Library,8,Gangnam-gu,Seoul gangnamgu gaeporo 110gil 54,02-451-1511,https://library.gangnam.go.kr/hnkklib/,"Weekdays : 09:00~22:00, Weekends : 09:00~17:00",Every Tuesday and Legal Holidays,1,Public Library,37.4906692944468,127.080356908422
48,Nonhyeon Library,8,Gangnam-gu,Seoul gangnamgu hakdongro43gil 17(nonhyeondong) nonhyeon2dong Community Center 6F,02-3443-7650,https://library.gangnam.go.kr/nhlib,"Weekdays : 09:00~22:00, Weekends : 09:00~17:00",Every Tuesday and Legal Holidays,1,Public Library,37.5172779092976,127.037187913597
2843,Nonhyeon Culture maru Library,8,Gangnam-gu,"Seoul gangnamgu nonhyeonro131gil 40, 4~5F",02-512-8580,https://library.gangnam.go.kr/nmmlib,"Weekdays : 09:00~18:00, Weekends : 09:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.51384422,127.02710693
49,Daechi Library,8,Gangnam-gu,Seoul gangnamgu samseongro 212 eunmaapateu bokjisangga 2F 215ho,02-565-6666,https://library.gangnam.go.kr/dchlib/index.do,Weekdays : 09:00~21:00. Weekends : 09:00~17:00 ,Every Tuesday and Legal Holidays,1,Public Library,37.4996157705058,127.065915414443
1402,Dogok Information Culture Library,8,Gangnam-gu,Seoul gangnamgu dogokro18gil 57,1644-3227,https://library.gangnam.go.kr/dogoklib,"Weekdays : 09:00~22:00, Weekends : 09:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.4883101,127.0388803
2133,Mosgolhanok Children Library,8,Gangnam-gu,Seoul gangnamgu jagokro7gil 3?,02-2226-5930,https://library.gangnam.go.kr/hchildlib/index.do,"Weekdays : 09:00~18:00, Weekends : 09:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.4733061524019,127.099727862691
21,Seoulgyoyukcheonggangnam Library,8,Gangnam-gu,Seoul gangnamgu seonreungro116gil 45,02-3448-4741~5,https://gnlib.sen.go.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00","1,3week Wednesday and Legal Holidays",1,Public Library,37.51368143,127.0468374
22,Seoulgyoyukcheonggaepo Library,8,Gangnam-gu,Seoul gangnamgu seonreungro4gil 30,02-3460-8200,https://gplib.sen.go.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00","2,4week Thursday and Legal Holidays",1,Public Library,37.48308019,127.063867
81,Yeoksam Library,8,Gangnam-gu,"Seoul gangnamgu yeoksamro7gil 16, 5F",02-508-1139,http://library.gangnam.go.kr/yslib,"Weekdays : 09:00~22:00, Weekends : 09:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.4953732068069,127.033283840382
2717,Yeolrin Library,8,Gangnam-gu,Seoul gangnamgu ilwonro 115 samseongsaengmyeongbilding Bdong 203ho,02-3412-3970,https://library.gangnam.go.kr/yllib/,"Weekdays : 09:00~22:00, Weekends : 09:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.4840224010593,127.084459720088
2760,Ilwonraonyeongeo Library,8,Gangnam-gu,Seoul gangnamgu yeongdongdaero 22 B1(ilwondong 743),02-6712-0595,https://library.gangnam.go.kr/englib/index.do,"Weekdays : 09:00~18:00, Weekends : 09:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.4910941147932,127.074163955752
52,Jeongdaun Library,8,Gangnam-gu,Seoul gangnamgu hakdongro67gil 11 3F,02-512-9326,https://library.gangnam.go.kr/jdwlib,"Weekdays : 09:00~22:00, Weekends : 09:00~17:00",Every Tuesday and Legal Holidays,1,Public Library,37.5190987146919,127.046440886765
51,Jeulgeoun Library,8,Gangnam-gu,Seoul gangnamgu dogokro77gil 23 4F,02-565-7533,https://library.gangnam.go.kr/jgwlib/,Weekdays : 09:00~22:00. Weekends : 09:00~17:00,Every Monday and Legal Holidays,1,Public Library,37.499729738243,127.05784954077
47,Cheongdam Library,8,Gangnam-gu,Seoul gangnamgu apgujeongro79gil 26 cheongdam Community Center 7F,02-540-7042,https://library.gangnam.go.kr/cdlib,"Weekdays : 09:00~22:00, Weekends : 09:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.52509298,127.0492914
53,Haengbokhan Library,8,Gangnam-gu,Seoul gangnamgu yeongdongdaero65gil 24(daechi2 Culture senteo 3F),02-567-3833,http://library.gangnam.go.kr/happylib,"Weekdays : 09:00~22:00, Weekends : 09:00~17:00",Every Tuesday and Legal Holidays,1,Public Library,37.50230515,127.0641886
105,Gangdong District gangil Library,10,Gangdong-gu,Seoul gangdonggu arisuro 93gil 9-14,02-427-4004,http://www.gdlibrary.or.kr,"Weekdays : 09:00~22:00, Weekends : 09:00~17:00",Every Tuesday and Legal Holidays,1,Public Library,37.56504077,127.1739073
2757,Gangdong District Library,10,Gangdong-gu,Seoul gangdonggu dongnamro 870(sangildong) gangdong Culture jaedan,02-2045-7915,https://www.gdlibrary.or.kr/,,,1,Public Library,37.5512204558342,127.157342546961
2699,Gangdong District dunchon Library,10,Gangdong-gu,Seoul gangdonggu dongnamro49gil 21-8,02-489-6557,http://www.gdlibrary.or.kr,"Weekdays : 09:00~18:00, Weekends : 09:00~17:00",Every Tuesday and Legal Holidays,1,Public Library,37.5317867939007,127.148160430097
63,Gangdong District seongnae Library,10,Gangdong-gu,Seoul gangdonggu seonganro 106-1,02-471-0044,http://www.gdlibrary.or.kr,"Weekdays : 09:00~20:00, Weekends : 09:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.5328454696729,127.133342998226
1067,Gangdong District amsa Library,10,Gangdong-gu,Seoul godeokro 20gil 42 (amsadong 471-37),02-429-0476,http://www.gdlibrary.or.kr,"Weekdays : 09:00~22:00, Weekends : 09:00~17:00",Every Monday and Legal Holidays,1,Public Library,37.5528330245657,127.133365473246
